Name,Rating,Summary,Verified,Review
Rachel L. Rowell,5.0 out of 5 stars,AWESOME HEATER,Verified Purchase,"I work from my home office and sitting so long, I get cold even though we have central heat. I bought this smaller oscillating heater after my old one, which was taller, died. This one is about 18 inches tall but it totally puts out enough heat to heat the entire room so I am not cold anymore. Of course you can adjust the heat up or down and turn the oscillator on or off as suits your needs. The fan is super quiet too, even when oscillating. I would highly recommend this unit to anyone who needs a secondary heat source. It also has the safety tip-over feature so if it tilts or falls over, and the button on the bottom is no longer in contact with the floor or other hard surface it sits on, the heater automatically shuts off until it is put in the upright position again."
Rosebud,1.0 out of 5 stars,Disappointing,Verified Purchase,Didn’t want to spend a fortune on a Dyson fan so I hoped this fan would be a close enough version.  It has 3 speeds; the Low speed is quiet but useless because you can’t feel it so you have to have it on Medium or High. On High it’s pretty loud.  I hoped since it’s so tall that it would really put out some air but I get about the same amount out of my old oscillating fan. This fan is about 4ft tall and you get about a 12in area where there’s air coming out. There’s no way to adjust the height so if you don’t like where the air is blowing you’re out of luck. It doesn’t oscillate very far in either direction either.  The sleep function was weird in that the fan constantly turns itself off and on.  Didn’t like that either. Save your money and try a different fan. Update: After giving the fan to my husband to use he found another serious flaw; when he would adjust the tv volume with the remote control it also turns the fan off. Saw online others having the same problem. This fan is being returned back to Amazon.
Michael R,5.0 out of 5 stars,Exactly as Described,Verified Purchase,Echoing the headline above this product is exactly as described in the product description.  It is simple to operate and offer the settings and output that I desired for a small room needing an auxiliary heat source
R. Carlson,3.0 out of 5 stars,"Good heater, but Oscillation feature is wonky",Verified Purchase,"Like many of the other reviewers, I would rate this heater high on it's heating ability and it's quiet operation. It runs at about 55DB, about the noise you'd hear in a quiet library. The thermostatic feature is pretty good about holding to a specific temperature. The orange/black color scheme is a bit of a acquired taste, but I could have gotten used to it. There is a slight issue with the controls - there's just a large knob on the top and you select low heat, high heat or (I'm assuming) high heat with thermostatic control. You cannot select thermostatic control with low heat. Speaking of the thermostat, like most similar units, the thermostat is not calibrated to s particular temperature, you just pick a place on the dial and back it off or advance until you reach a comfortable temperature.The one problem I have with the unit is that the oscillation feature is not integrated to the thermostat. It's a switch on the lower back of the unit, hard to reach. This means that if you want to use oscillation with the thermostatic feature, when the unit is not blowing air, the heater continues to oscillate left to right.It's spooky. It makes a very slight sound . It's nodding it's head in disapproval.  It's judging you.....OK, maybe that last bit is not true, but the constant motion, even when it's not blowing air is simply annoying.The search for the perfect heater continues.....Pros:- Quiet- Powerful- Easy to use knob on the top- Provides a fan modeCons:- No ability to select thermostatic control and low power- Thermostat is not calibrated in degrees- Constant motion if oscillation is turned on, even when not blowingRecommendation: Good unit, but for this money it should provide better (and integrated) controls."
david coffman,1.0 out of 5 stars,Good luck if you like to set a temperature instead of just on/off,Verified Purchase,"Update as I near the end of winter.  I reduced my review from 2 stars to 1 star.  This think is the most frustrating heater I've ever owned.  The inability to select a specific temperature, plus the units horrible ability to maintain a given temperature have made me decide to buy a new one later this year for next winter.  The unit is just soooo bad at keeping a specific temperature I can't stand it.  A thermometer I have says 68 degrees.  I tap the heater dial (don't change the dial position) and it heats to 77 degrees before I have to shut it off. I turn the dial to make it stop heating, then turn it right back to where it was (I put a mark on the top so I can align the dial to it) and it get to 68 or lower and doesn't turn on.  WTF.  I hate this thing.  Don't ever by it and don't buy anything from the maker.I bought this to replace a heater that I had for several years that was starting to have issues with the buttons.  Didn't want to risk anything with a product like this so bought this replacement.Pros:  Puts out heat very quickly  Very quietCons:  Variable temperature is poor at best - no numbers and not consistent  Oscillation switch location  Power light remains on unless unplugged  Oscillation rangeSo it is very quiet and I like that a lot.  It puts out heat quickly and warms my home office faster than my last (which also cost less and was smaller).I don't use a heater to blow warm air constantly, regardless of the room temperature.  I prefer to set a temperature that I'm comfortable with and let the unit come on/off as needed.  This has no temperatures on the variable control dial.  The product description says that, so can't say I wasn't warned.  I thought it would be easy to figure out where I like it and put a sticker on the dial so I know where to set it every day.  I got close, but every morning when I turn it to the mark, it heats above.  So I moved the mark to a lower temp (I moved it about 3/16 of an inch.  Then it heats to 2-3 degrees cooler than I want.  I just can't get it to heat to the temp I want.  So I wait until a thermometer in my office reads the desired temp and nudge it down to the lower mark.  When it comes back on as the room temp lowers, it heats way above where it was before.  Today, it heated to 7 degrees warmer and was still going when I realized it and turned it down further.  So not consistent at all.  It will require you to make adjustments during the day or settle for a cooler or warmer temp than you really wanted.As for the oscillation, it only covers about 30 degrees of range!  My old heater did more like 100-120 degrees.And the on/off, fan, temp controls are on the top, but the oscillation switch is all the way down at the bottom of the back.  Why?  What a silly design.  And when you turn it off at the top, it keeps oscillating unless you also turn off the oscillation switch.  Poor design in my opinion.  Why allow oscillation to continue when the fan is not blowing cool or warm air?I'll use it because I'm not going to spend more money on a heater that better fits my expectations, but I wanted to let potential buyers know about what I see as drawbacks.  If you just want to turn it on and have it keep heating regardless of room temperature, this is a good unit.  Otherwise, keep looking.  Wish I had."
Angel,3.0 out of 5 stars,Need different remote control,Verified Purchase,"I love the fan. It's very slender and not too bulky. I am a light sleeper, but I can sleep with this fan on at night with no issues. There is one thing I hate about this fan and that's the remote. It appears that my tv remote controls the fan as well. So if I turn the tv up, the fan started to swing. If I change the channels on my tv, the speed of the fan changes. This is extremely annoying."
Ismael Vasquez,5.0 out of 5 stars,Space Heater,Verified Purchase,"This space heater is very nice because I use it to heat up my room whenever I go to sleep. Even using the heater for 20 minutes in a closed room and opening the door, I can feel the temperature difference right away going into the hall. It can be used as a regular fan as well but I think compared next to an actual fan that was made to blow air, it might fall a little behind but hey this is a space HEATER not a COOLER.My only gripe is that the Automatic Thermostat doesn't work as I had hope it did. I thought that it would heat up the area/room until it's internal Thermostat detects that a room is a certain temperature, stops, then turns back on  when it detects the below desired temperature. When I have this below the middle, it doesn't seem to stop and when i wake up, my room feels like the heater wants the room to be at 85f and there is no indicator anywhere about it. I also tested this out by having the heater stop by turning the thermostat  to a lower level, wait an hour and lower it even further and the heater doesn't turn on automatically. I guess it's meant to be either ""do you want the room to be hot or the heater off?"" modes."
AmazonCustomer,2.0 out of 5 stars,Buyer BEWARE!,Verified Purchase,"This heater worked ok until it STOPPED WORKING altogether about 2 months after I purchased it.Although the safety feature is useless - I had to practically turn the thing upside down in order to get it to “auto” shut-off, it did put out heat fairly well until it just decided to quit working at all.Given that it was too late to return the heater to Amazon by then, I had to deal with the manufacturer at that point.That’s when my REAL PROBLEMS began!I was given an 800 # that actually rings through to China, was finally able to get a 909 area code # for the company’s US HQ in CA, left numerous unreturned voicemails until I was finally able to get a “representative” there who answered the phone.Then the games began:Constant and useless email exchanges until I finally received a written “guarantee” for a full refund for a product that was allegedly out of stock when Amazon was still selling the same model.My guess is that the company that made the piece of junk didn’t want to send me a replacement piece of junk because the rep knew that he’d be hearing from me about it again.There are companies that will avoid dealing with their responsibilities in the hope that a good percentage of us will just give up and wind up being royally ripped off!The “promise” of a refund with due by date was not kept, so I finally called Amazon because I was no longer willing to be BS’d by the manufacturer.Fortunately, a very nice Amazon supervisor stepped in and issued a refund from Amazon, given that I’m a good customer and have a Prime membership.If you buy this heater you might get “lucky” and have it still working past the 90 warranty period.Otherwise, you’ll have to fight like hell to get help.Regardless of the the discounted price - I have to wonder if the price came down while it was still way cold in many parts of the US and Canada because there were many people who had problems with this heater.......at this time of the year when most of us wont be needing much heat until the Fall chill returns in October or November, I WOULDN’T take a chance with this one while it sits in your basement, garage or closet turned OFF until you try to use it again long after your 90 warranty has expired.BEWARE of this company called “TrueTech”True? Seriously?!"
Andres P. Nevarez,5.0 out of 5 stars,Great slim tower fan,Verified Purchase, A great fan quiet and very stylish
DBW,3.0 out of 5 stars,Hot and Quiet,Verified Purchase,"This space heater is quiet, puts out plenty of heat and is light weight. It has a tip over safety switch that shuts the unit off if tipped over. However, it does have its faults:- The oscillating switch is on the bottom of the back of the unit, cumbersome to get to. In addition, with the switch turned on, the unit oscillates whether or not the fan or heater is turned on. Kind of useless to have a space heater/fan oscillating with no heat or fan. I have since re-wired mine so it only oscillates if the fan or heater is turned on.- The carry handle is near worthless for me, I can only get the very tips of my fingers in it due to it being so shallow. As a result, when I try to pick it up with the carry handle it tilts away from my hand and slips off my fingers. I have to use two hands to pick it up, one to put my fingers in the handle and the other to prevent the unit from tipping over.As a result of these two issues I can only give three stars for a review."
