Name,Rating,Summary,Verified,Review
Luis Villalobos,5.0 out of 5 stars,Perfect Seller!,Verified Purchase,"iPhone 12 PRO arrived in 2 days! Device is LIKE NEW LITERALLY, It's unlocked, battery at 100%. Recommended 101%"
Thien,4.0 out of 5 stars,alright phone for that price,Verified Purchase,like they said fully unlocked yes it is fully unlocked andits great for me. The battery was a 7/10 but so far its pretty good and whoever said all these comments are all not real then they're mad maybe something happened with their phone but mine its perfectly fine
Sasha-Gayle Douglas,5.0 out of 5 stars,Recommend,Verified Purchase,It’s dope it’s perfect it’s came fully unlocked I got to put my SIM card inI’m in love with it delivered faster than it said.
schadrack waba,1.0 out of 5 stars,This product looks old and damage,Verified Purchase,The only mistake a made it was to buy this old use iPhone listed as renewal. I don’t want you to make that mistakes . I would buy a new iPhone somewhere else instead of this oldest used iPhone  one listed by that sceller.
Barbarian,1.0 out of 5 stars,Will be returned !!! PLEASE READ,Verified Purchase,Although i really liked the phone which clearly says (RENEWED PREMIUM) i noticed on the order details it says (NEW) and because of that the warranty (Replace/Refund) was not showing 1 year for premium renewed products instead it was showing 90 days! Really upset about that and tried to call Amazon to resolve the issue and ask them to make the changes to reflect what i bought they failed to do so!! I am returning this and placing a new order and hoping this time it wont be an issue as if i am being charged premium price i expect i get premium service
Jennifer T.,5.0 out of 5 stars,Perfect refurbished phone,Verified Purchase,This phone would have been perfect had it been unlocked for my use with ATT. It was in perfect condition and so flawless. I’m sick that I couldn’t keep it. Whoever has Verizon will love this particular device. Truly a beautiful phone.
Diana-Crystal Ly,5.0 out of 5 stars,Great,Verified Purchase,"It’s in great condition, I haven’t had anything go wrong with it"
James,4.0 out of 5 stars,Really great phone!,Verified Purchase,"This is a great iPhone, although the battery life is not the best. It is still really great phone I especially like the face unlock"
Nicklaus,5.0 out of 5 stars,It’s a new used phone,Verified Purchase,"Came in a Amazon renewed box, came with after market charger and cord, the phone was clean looked brand new runs like a new iPhoneOnly complaint was the screen protector it was shipped with was dirty and wasn’t even on the phone but luckily there were no scratches"
Grayson Carter,5.0 out of 5 stars,So far so good,Verified Purchase,Didn't want to pay for a new device so I figured why not try the renewed. The device looks new and came free of any previous user data. It came with 90% battery health which doesn't really matter to me. I'm not sure how many hours screen on time I will get as I've only had it for a few days but so far hasn't died at any time. The charger and cable they ship with it are not good as the cable can't sync with itunes and the charger is very low power but you can pick up both for very low cost pretty much anywhere
degrab,5.0 out of 5 stars,EASE OF USE AND TRIPLE CAMERAS & VIDEO CAPABILITIES,Verified Purchase,"IPHONE 12 PRO EASY FOR BEGINNERS TO USE. HAD ASSISTANCE SETTING UP AND TRASFERING DATA FROM OLD PHONE SAMSUNG J7 WITH HELP OF SALES REP AT LOCAL T-MOBILE STORE. 99% OF PROGRAMS, DATA AND PHOTOS WERE TRANSFERED. ONCE COMPLETED TRANSFER, CUSTOMIZING TO MY PERSONAL SETTINGS WAS FAIRLY EASY. PHONE IS VERY COMFORTABLE TO HOLD. MUCH LOUDER THAN MY OLD PHONE. SCREEN MAKES TEXTING EASIER TOO AS LETTERS AND NUMBERS JUST THE RIGHT SIZE FOR MY FINGERS. SCROLLING IE FACEBOOK, YOUTUBE, ECT. IS REAL SMOOTH. PICTURES ARE EXCELLENT IN THE PHOTO ALBUMS. YOU CAN ALSO EDIT PICTURES IN THE ALBUM A HUGHE PLUS. THE THREE CAMERAS ARE EXCELLENT AS WELL AS THE PORTARIT MODE AND THE VIDEO. VIDEO IS SO LIFE LIKE AND THE COLORS ARE FANTASTIC. THE NIGHT VIEW WORKS BEAUTIFULLY AS THE PICTURES COME OUT LIKE THEY WERE SHOT IN DAYLIGHT. I BOUGHT THE IPHONE 12 PRO RENEWED. BATTERY LIFE WAS 96% AND I FOUND NO SCRATCHES, DENTS OR DINGS. IT WAS JUST LIKE A BRAND NEW CAMERA OUT OF THE BOX. IT DID HAVE DIFFERENT CHARGING CABLE AND POWER BLOCK WHICH WERE APPLE CERTIFIED. I HAVE HAD THIS PHONE FOR ABOUT 2 MONTHS NOW AND I LOVE THIS PHONE. THIS IS MY FIRST IPHONE AND THE BATTERY LIFE IS GOOD BUT COULD BE BETTER IF IT HAD A BIGGER BATTERY. I HIGHLY RECOMMEND THIS PHONE AND I DON'T THINK YOU WILL BE DISAPPOINTED."
Daniel Olivares,5.0 out of 5 stars,iPhone is iPhone. Good and reliable. And secure!,Verified Purchase,"Love the phone. Been wanting it since it came out and finally put some money together to buy it. I do must say I’m happy to be back with iPhone. I was stuck with a Motorola G4 for almost a year and a half and that phone took a beaten and I finally got tired of it lagging and been a bit of an annoyance to navigate. This phone is clean, sturdy, and very well put together. Love the cameras, I blew my friends mind when I showed him it could take pictures in the dark on SELFIE mode. Even for a refurbished phone it still looks brand new, no dings nor scratches. Looked very clean and smooth when I unwrapped it. And yea unwrapped it. Would’ve prefer getting the whole “brand new fresh off the box” experience. But I’m not complaining. They secured it pretty well. Package might not be filled with bubble wrap but this phone is durable. All they needed was to wrap it around with some foam and the phone got to me in one piece, looked brand new. Didn’t even have to squint my eye I swear.Side note I didn’t put a rating on the finger print because I do not know whether this phone has one. I haven’t bothered the face recognition is enough. It won’t rwcognize your face with a mask on (obviously) but it does recognize from all kinds of angles. Literally even as far as your arms can reach. I’ve gotten myself an Apple Watch lately the 7 specifically and they go hand in hand love them both. I’ve had the phone for 4 months now and it still looks brand new, I still take it out of the case and feel it. I did spent a grand on it, which for a lot of people it is pretty pricy but so far I haven’t had a complain or a regret for buying a thousand dollar phone. Which was a HUGE thing before I bought it. Maybe it’s because I’m finally back with iPhone money doesn’t matter if you’re happy really.Camera is crisp btw."
dalila r.,1.0 out of 5 stars,I bought an iPhone 12 Pro Max. I received an iPhone 12 Pro. Terrible mistake.,Verified Purchase,I received another article. It was a fraud.
JR C,1.0 out of 5 stars,Don’t waste your money,Verified Purchase,Item had several scratches on the corners and on the glass. Will return for refund
Hokiefan,5.0 out of 5 stars,Perfect phone,Verified Purchase,This phone was in pristine condition and looks brand new! Love it and would definitely buy refurbished again from Amazon.
Nas Phillips,4.0 out of 5 stars,Great Review,Verified Purchase,"I just got my iPhone 12 pro in mail today, I want say it package real nice and phone feel luxury even thou is refurbished. In addition I will do my review testing out the phone and see if there's any fake going on but however it came in good shape, no scratches what so ever. I like this alot and seller that send it too me did well because I am young guy review all my purchases and money is worth it spend that. So guy if you want buy refurbished iPhone trust me is worth it, I am going take picture and do a video soon on it. I appreciate amazon as loyal customer and more shopping to come in the future. Appreciate however read this and let see how the phone goes. Thirdly, I want thank seller for well design packaging got a charger and sim kit, I hope in the future people can be honest about thier review before at hand test before you write about it."
Carlos Velazquez,1.0 out of 5 stars,It's fraud by name,Verified Purchase,Totally a fraud by the name is a hoax thinking that you are going to give you an iPhone 12 pro max but the iPhone 12 pro ends up coming
Roberto Espinoza,1.0 out of 5 stars,TRASH,Verified Purchase,"Worst purchase, will have to return. Refurbished is no good. Bad battery, no face recognition. Definitely need the money back."
Petr Fursov,1.0 out of 5 stars,bad,Verified Purchase,bad
Amazon Customer,1.0 out of 5 stars,wouldnt buy- go to the store and get it,Verified Purchase,ive had so many issues with this phone so i am sending it back- keeps randomly shutting off and disconnecting my internet.
Katrina Harland,5.0 out of 5 stars,2nd one is perfect,Verified Purchase,I returned the 1st one due to screen color but reordered from the same company & the 2nd one is flawless. Still waiting on my refund for 1st one but assuming there will be no issues there
PeteSut,1.0 out of 5 stars,Brightness malfunction,Verified Purchase,"This is the refurbished phone I got from Digital Age USA, with brightness turned up all the way. Impossible to read. This is equivalent to the brightness turned to the lowest setting on my other iPhone. Sending it back for a refund. I wasn't sure if it was possible to troubleshoot this issue so I called Digital Age USA, but despite claiming they have a ""dedicated customer service staff available 8:30 - 6:30 CST/ 7 days"" no one picked up the phone after 2 attempts during those hours. Instead, I  was greeted by a recorded message telling me to send an email via Amazon returns."
Crystal,1.0 out of 5 stars,Worthless,Verified Purchase,"Very bad, worthless."
Dcube,1.0 out of 5 stars,BEWARE,Verified Purchase,"The phone looks great except for near the charging port where there was a ton of scratches. This phone has a lot of static noise in it. The callers on the other end constantly complain that they cant hear me and its a lot of background noise and at other times, no sound. I can hear them fairly clearly but they have all sort of issues hearing me. This is my second purchase since the first one had cracks on the screen. Dont be like me, make sure that if you do purchase, thoroughly test it before sending it off to Canada as a gift! Save yourself the disappointment and expenses. Avoid these and just put the extra mone and buy from apple refurb or buy New if you can. Take my advice"
nubia cordero,1.0 out of 5 stars,Bad product,Verified Purchase,So bad product and seller
ALucy,4.0 out of 5 stars,The item seems to be in good shape. I only returned because of the payment method appied,Verified Purchase,   
ANTONIO P. GOUDEAU JR.,1.0 out of 5 stars,Not as advertised,Verified Purchase," I actually like the phone and often buy renewed electronics from Amazon. I purchased this phone and everything works except the fact that there is a separation in the upper left hand corner of the phone that could possibly compromise the water resistance of the phone. The phone is sold as renewed with minor imperfections, but this is a major imperfection that could compromise the life of the phone. For the price I paid, I don’t see the value when I have to deal with these types of issues. As I have said before, I have bought other phones from the Amazon Renewed program and have never has a problem. In this situation I have given the seller the same information that I’m sharing here and they are giving me “the run around”. I only want a replacement for the phone as I need it for work. Unfortunately, I’m unable to currently reach that goal"
Anthony Apodaca,5.0 out of 5 stars,Perfect Quality for a Refurbished Product,Verified Purchase,"When unboxed, the phone was flawless. I couldn’t see any faults, micro scratches, or chipping. I love that it was available for a steep discount compared to what my carrier was offering and I’m enamored with 5G connectivity. I’m super stoked about keeping a great device out of a landfill. 10/10 would recommend !"
Dan R,5.0 out of 5 stars,Returned because of defect.  Amazon took it back with no question. I am a happy guy.,Verified Purchase,"I was trying to save some money by getting a used phone.  The phone was in great condition, and looked like new, until I found that the Bluetooth didn't work.  It's a great phone, but I really use the Bluetooth a lot, so there was no question that it had to be returned.  Amazon gave me no hassles, and I am a happy guy.  I finally gave up the idea of a used phone, and just went out and got a new phone.  Yes it was expensive, but it should last a long time."
